分类,imageID,workName,authorName,dynasty,instName,公开版权
女,6477f07a-4070-11ed-9adc-c934f75048ef,线描宫庭神话人物形象巨幅图册,佚名,清代,,否
女,6478775c-4070-11ed-9adc-c934f75048ef,线描宫庭神话人物形象巨幅图册,佚名,清代,,否
女,6478ec1e-4070-11ed-9adc-c934f75048ef,历代帝王贵妃大臣朝服像(贵妃),佚名,清代,,否
女,6479541a-4070-11ed-9adc-c934f75048ef,线描市井七十二行街头买卖巨幅图册-1,佚名,清代,,否
女,647a0a0e-4070-11ed-9adc-c934f75048ef,线描市井七十二行街头买卖巨幅图册-1,佚名,清代,,否
女,647a5e14-4070-11ed-9adc-c934f75048ef,线描市井七十二行街头买卖巨幅图册-1,佚名,清代,,否
女,647ae9d8-4070-11ed-9adc-c934f75048ef,线描市井七十二行街头买卖巨幅图册-1,佚名,清代,,否
女,647b2aec-4070-11ed-9adc-c934f75048ef,线描市井七十二行街头买卖巨幅图册-1,佚名,清代,,否
女,647be3ec-4070-11ed-9adc-c934f75048ef,线描市井七十二行街头买卖巨幅图册-1,佚名,清代,,否
女,647c0f98-4070-11ed-9adc-c934f75048ef,线描市井七十二行街头买卖巨幅图册-1,佚名,清代,,否
女,647e6ba8-4070-11ed-9adc-c934f75048ef,线描市井七十二行街头买卖巨幅图册-2,佚名,清代,,否
女,64816e70-4070-11ed-9adc-c934f75048ef,庭苑春色图,佚名,清代,私人藏,否
女,64823152-4070-11ed-9adc-c934f75048ef,职贡图巨幅彩绘册页第3册,佚名,清代,,否
女,648574a2-4070-11ed-9adc-c934f75048ef,京剧一百人物-鄧小姐,佚名,清代,大都会博物馆,是
女,648bd1d0-4070-11ed-9adc-c934f75048ef,线描神话.刑罚.官场.人物巨幅图册-4,佚名,清代,,否
女,648c92fa-4070-11ed-9adc-c934f75048ef,燕寝怡情12帧清内府设色库绢本,佚名,清代,,否
女,648f74d4-4070-11ed-9adc-c934f75048ef,历代帝王贵妃大臣朝服像(孝淑睿皇后),佚名,清代,,否
女,649417dc-4070-11ed-9adc-c934f75048ef,京剧一百人物像-石小姐,佚名,清代,大都会博物馆,是
女,6494d438-4070-11ed-9adc-c934f75048ef,线描市井各色人物形象外销巨幅图册-6,佚名,清代,,否
女,6495052a-4070-11ed-9adc-c934f75048ef,线描市井各色人物形象外销巨幅图册-6,佚名,清代,,否
女,64955426-4070-11ed-9adc-c934f75048ef,线描市井各色人物形象外销巨幅图册-6,佚名,清代,,否
